,PUMA,GQ,OWNERSHP,FAMSIZE,NCHILD,AGE,SEX,MARST,RACE,HISPAN,EDUC,INDNAICS,SECTOR,INCTOT,INCTOT_DECILE,POVERTY,DENSITY,VETDISAB,DIFFREM,DIFFPHYS,DIFFEYE,DIFFHEAR,HHWT,PERWT
1449186,25-703,1,2,3,0,4,1,6,1,0,1,       0,0,9999999,9,135,2195.3,0,0,0,1,1,82.0,83.0
1449215,25-703,1,1,2,0,78,2,1,1,0,6,       0,0,84400,6,501,2195.3,0,1,1,1,1,82.0,82.0
1449216,25-703,1,1,2,0,81,1,1,1,0,6,       0,0,14120,2,501,2195.3,1,2,1,1,1,82.0,94.0
1449222,25-1000,1,2,2,0,84,1,1,1,0,6,       0,0,22500,3,203,2447.1,0,1,1,1,1,166.0,167.0
1449223,25-1000,1,2,2,0,82,2,1,1,0,6,       0,0,8700,1,203,2447.1,0,1,2,1,1,166.0,163.0
1449225,25-2800,1,1,3,2,55,1,4,1,0,6,4441Z   ,44,185000,8,501,3683.9,0,1,1,1,1,66.0,67.0
1449226,25-2800,1,1,3,0,22,2,6,1,0,10,621M    ,62,8000,1,501,3683.9,0,1,1,1,1,66.0,80.0
1449227,25-2800,1,1,3,0,19,1,6,1,0,6,52M1    ,52,15000,2,501,3683.9,0,1,1,1,1,66.0,80.0
1449250,25-703,1,1,7,1,81,2,1,1,0,8,51912   ,51,8200,1,257,2195.3,0,1,1,1,1,85.0,84.0
1449251,25-703,1,1,7,1,84,1,1,1,0,11,5415    ,54,37500,4,257,2195.3,1,1,1,1,1,85.0,93.0
1449252,25-703,1,1,7,3,45,2,6,1,0,10,454110  ,45,15200,2,257,2195.3,0,1,1,1,1,85.0,100.0
1449253,25-703,1,1,7,0,18,2,6,1,0,6,5121    ,51,4000,1,257,2195.3,0,1,1,1,1,85.0,134.0
1449254,25-703,1,1,7,0,16,2,6,1,0,4,6241    ,62,300,0,257,2195.3,0,1,1,1,1,85.0,75.0
1449255,25-703,1,1,7,0,15,1,6,1,0,3,       0,0,0,0,257,2195.3,0,1,1,1,1,85.0,78.0
1449256,25-703,1,1,7,0,46,1,2,1,0,11,4244    ,42,40000,4,257,2195.3,0,1,1,1,1,85.0,104.0
1449265,25-2800,1,2,1,0,74,2,5,1,0,6,       0,0,19200,3,158,3683.9,0,2,2,1,1,105.0,104.0
1449273,25-1300,1,1,3,1,48,2,1,1,0,10,       0,0,0,0,501,1457.2,0,1,1,1,1,45.0,45.0
1449274,25-1300,1,1,3,1,55,1,1,1,0,10,52M2    ,52,627000,8,501,1457.2,0,1,1,1,1,45.0,49.0
1449275,25-1300,1,1,3,0,17,2,6,1,0,4,814     ,81,10000,2,501,1457.2,0,1,1,1,1,45.0,43.0
1449300,25-2800,1,1,2,0,68,1,1,1,0,10,5417    ,54,113200,7,501,3683.9,3,1,1,1,1,114.0,115.0
1449301,25-2800,1,1,2,0,69,2,1,1,0,7,622M    ,62,20200,3,501,3683.9,0,1,1,1,1,114.0,104.0
1449363,25-1300,1,1,1,0,81,2,5,1,0,6,       0,0,26000,3,215,1457.2,0,1,1,1,1,54.0,53.0
1449378,25-503,1,1,2,0,71,2,1,1,0,11,6111    ,61,48000,5,501,2872.7,0,1,1,1,1,108.0,108.0
1449379,25-503,1,1,2,0,70,1,1,1,0,11,5416    ,54,69000,6,501,2872.7,0,1,1,1,1,108.0,104.0
1449423,25-2800,1,1,1,0,62,1,5,1,0,10,7111    ,71,67500,6,501,3683.9,0,1,1,1,1,77.0,77.0
1449430,25-503,1,1,2,1,73,1,5,1,0,11,       0,0,110000,7,501,2872.7,0,2,1,1,1,53.0,52.0
1449431,25-503,1,1,2,0,50,2,6,1,0,6,       0,0,0,0,501,2872.7,0,2,1,1,1,53.0,72.0
1449445,25-2800,1,1,2,0,71,2,1,2,0,10,6111    ,61,121500,7,501,3683.9,0,1,1,1,1,124.0,124.0
1449446,25-2800,1,1,2,0,72,1,1,8,0,7,       0,0,12400,2,501,3683.9,1,1,2,1,1,124.0,79.0
1449467,25-2800,1,1,2,0,27,2,6,1,0,11,5411    ,54,53000,5,401,3683.9,0,1,1,1,1,70.0,70.0
1449468,25-2800,1,1,2,0,30,1,6,1,0,10,722Z    ,72,80000,6,501,3683.9,0,1,1,1,1,70.0,93.0
1449469,25-703,1,1,1,0,47,1,6,1,0,11,4234    ,42,120500,7,501,2195.3,0,1,1,1,1,53.0,52.0
1449489,25-2800,1,1,1,0,33,1,6,1,0,10,454110  ,45,120000,7,501,3683.9,0,1,1,1,1,67.0,66.0
1449492,25-1300,1,1,5,3,54,2,1,1,0,11,6111    ,61,85000,6,501,1457.2,0,1,1,1,1,50.0,50.0
1449493,25-1300,1,1,5,3,56,1,1,1,0,11,332MZ   ,33,918000,8,501,1457.2,0,1,1,1,1,50.0,51.0
1449494,25-1300,1,1,5,0,25,2,6,1,0,10,611M3   ,61,25000,3,501,1457.2,0,1,1,1,1,50.0,71.0
1449495,25-1300,1,1,5,0,23,2,6,1,0,10,6111    ,61,10000,2,501,1457.2,0,1,1,1,1,50.0,73.0
1449496,25-1300,1,1,5,0,20,2,6,1,0,7,621M    ,62,600,0,501,1457.2,0,1,1,1,1,50.0,75.0
1449527,25-1300,1,1,1,0,38,1,6,1,0,6,621M    ,62,17600,2,133,1457.2,0,1,1,1,1,123.0,123.0
1449547,25-703,1,1,1,0,62,2,6,1,0,11,5417    ,54,225000,8,501,2195.3,0,1,1,1,1,76.0,77.0
1449548,25-703,1,1,1,0,32,2,6,1,0,10,54194   ,54,70000,6,501,2195.3,0,1,1,1,1,76.0,96.0
1449555,25-503,1,1,5,3,38,2,1,1,0,11,62132   ,62,115000,7,501,2872.7,0,1,1,1,1,132.0,132.0
1449556,25-503,1,1,5,3,39,1,1,1,0,11,5411    ,54,433000,8,501,2872.7,0,1,1,1,1,132.0,134.0
1449557,25-503,1,1,5,0,6,2,6,1,0,1,       0,0,9999999,9,501,2872.7,0,1,1,1,1,132.0,137.0
1449558,25-503,1,1,5,0,3,2,6,1,0,0,       0,0,9999999,9,501,2872.7,0,0,0,1,1,132.0,152.0
1449559,25-503,1,1,5,0,0,2,6,1,0,0,       0,0,9999999,9,501,2872.7,0,0,0,1,1,132.0,151.0
1449611,25-1300,1,1,2,0,80,1,6,1,0,6,       0,0,35600,4,401,1457.2,1,2,1,1,1,263.0,263.0
1449612,25-1300,1,1,2,0,60,2,5,1,0,6,44511   ,44,26000,3,401,1457.2,0,1,1,1,1,263.0,309.0
1449615,25-1300,1,1,2,0,71,2,1,1,0,10,       0,0,10000,2,240,1457.2,0,1,1,1,1,50.0,50.0
1449616,25-1300,1,1,2,0,78,1,1,1,0,6,       0,0,26600,3,240,1457.2,1,1,1,1,2,50.0,54.0
1449621,25-703,1,1,5,3,39,1,1,1,0,10,5419Z   ,54,189000,8,501,2195.3,0,2,1,1,1,98.0,99.0
1449622,25-703,1,1,5,3,38,2,1,1,0,10,5416    ,54,169000,8,501,2195.3,0,1,1,1,1,98.0,93.0
1449623,25-703,1,1,5,0,9,2,6,1,0,1,       0,0,9999999,9,501,2195.3,0,2,1,1,1,98.0,90.0
1449624,25-703,1,1,5,0,7,2,6,1,0,1,       0,0,9999999,9,501,2195.3,0,2,1,1,1,98.0,90.0
1449625,25-703,1,1,5,0,2,2,6,1,0,0,       0,0,9999999,9,501,2195.3,0,0,0,1,1,98.0,87.0
1449652,25-1300,1,1,2,0,63,1,1,1,0,11,3345    ,33,243300,8,501,1457.2,0,1,1,1,1,61.0,61.0
1449653,25-1300,1,1,2,0,62,2,1,1,0,10,       0,0,2540,1,501,1457.2,0,1,1,1,1,61.0,62.0
1449661,25-703,1,1,4,3,35,2,5,1,4,8,4539    ,45,46000,5,204,2195.3,0,1,1,1,1,92.0,92.0
1449662,25-703,1,1,4,0,15,1,6,6,4,3,       0,0,7200,1,204,2195.3,0,1,1,1,1,92.0,82.0
1449663,25-703,1,1,4,0,13,2,6,6,4,2,       0,0,9999999,9,204,2195.3,0,1,1,1,1,92.0,76.0
1449664,25-703,1,1,4,0,8,1,6,6,4,1,       0,0,9999999,9,204,2195.3,0,2,1,1,1,92.0,131.0
1449674,25-703,1,1,2,0,60,1,6,1,0,11,531M    ,53,633200,8,501,2195.3,0,1,1,1,1,70.0,70.0
1449675,25-703,1,1,2,0,56,1,6,1,0,6,8129    ,81,7600,1,57,2195.3,0,1,1,1,1,70.0,71.0
1449707,25-1300,1,1,1,0,60,1,4,1,0,11,33641M1 ,33,151400,8,501,1457.2,0,1,1,1,1,59.0,58.0
1449723,25-503,1,1,4,2,50,1,1,6,0,11,5417    ,54,140000,7,501,2872.7,0,1,1,1,1,199.0,199.0
1449724,25-503,1,1,4,2,44,2,1,6,0,11,3254    ,32,627000,8,501,2872.7,0,1,1,1,1,199.0,261.0
1449725,25-503,1,1,4,0,12,1,6,6,0,2,       0,0,9999999,9,501,2872.7,0,1,1,1,1,199.0,272.0
1449726,25-503,1,1,4,0,4,2,6,6,0,1,       0,0,9999999,9,501,2872.7,0,0,0,1,1,199.0,222.0
1449769,25-503,1,1,2,0,68,1,1,1,0,11,       0,0,21600,3,199,2872.7,0,1,2,1,1,50.0,50.0
1449770,25-503,1,1,2,0,69,2,1,1,0,6,       0,0,9100,1,199,2872.7,0,1,1,1,1,50.0,56.0
1449771,25-703,1,1,5,3,37,2,1,1,0,10,6111    ,61,56000,5,501,2195.3,0,1,1,1,1,65.0,65.0
1449772,25-703,1,1,5,3,37,1,1,1,0,10,334M2   ,33,110000,7,501,2195.3,0,1,1,1,1,65.0,72.0
1449773,25-703,1,1,5,0,9,2,6,1,0,1,       0,0,9999999,9,501,2195.3,0,1,1,1,1,65.0,65.0
1449774,25-703,1,1,5,0,7,2,6,1,0,1,       0,0,9999999,9,501,2195.3,0,1,1,1,1,65.0,64.0
1449775,25-703,1,1,5,0,5,1,6,1,0,1,       0,0,9999999,9,501,2195.3,0,1,1,1,1,65.0,69.0
1449781,25-1300,1,1,3,1,48,2,1,4,0,11,52M2    ,52,300000,8,501,1457.2,0,1,1,1,1,42.0,42.0
1449782,25-1300,1,1,3,1,51,1,1,4,0,6,515     ,51,40000,4,501,1457.2,1,1,1,1,1,42.0,29.0
1449783,25-1300,1,1,3,0,11,2,6,4,0,2,       0,0,9999999,9,501,1457.2,0,1,1,1,1,42.0,83.0
1449795,25-1300,1,1,2,0,57,2,1,1,0,7,6212    ,62,44000,4,501,1457.2,0,1,1,1,1,82.0,81.0
1449796,25-1300,1,1,2,0,59,1,1,1,0,6,23      ,23,77000,6,501,1457.2,0,1,1,1,1,82.0,87.0
1449802,25-703,1,1,2,0,89,1,1,1,0,7,       0,0,278500,8,501,2195.3,1,1,1,1,2,91.0,91.0
1449803,25-703,1,1,2,0,85,2,1,1,0,10,       0,0,16400,2,501,2195.3,0,1,1,1,1,91.0,84.0
1449810,25-1300,1,1,7,5,49,2,1,2,0,10,622M    ,62,66000,6,443,1457.2,0,1,1,1,1,83.0,82.0
1449811,25-1300,1,1,7,5,60,1,1,2,0,8,5416    ,54,44000,4,443,1457.2,0,1,1,1,1,83.0,85.0
1449812,25-1300,1,1,7,0,25,1,6,2,0,10,5413    ,54,57500,5,443,1457.2,0,1,1,1,1,83.0,167.0
1449813,25-1300,1,1,7,0,18,1,6,2,0,5,722Z    ,72,5800,1,443,1457.2,0,1,1,1,1,83.0,65.0
1449814,25-1300,1,1,7,0,16,2,6,2,0,4,722Z    ,72,6300,1,443,1457.2,0,1,1,1,1,83.0,82.0
1449815,25-1300,1,1,7,0,8,1,6,2,0,1,       0,0,9999999,9,443,1457.2,0,1,1,1,1,83.0,114.0
1449816,25-1300,1,1,7,0,6,1,6,2,0,1,       0,0,9999999,9,443,1457.2,0,1,1,1,1,83.0,113.0
1449839,25-2800,1,2,1,0,51,1,6,2,0,10,6212    ,62,90700,7,501,3683.9,0,1,1,1,1,76.0,76.0
1449845,25-2800,1,1,2,0,30,1,1,1,0,10,5241    ,52,110000,7,501,3683.9,0,1,1,1,1,71.0,71.0
1449846,25-2800,1,1,2,0,30,2,1,1,0,10,5415    ,54,95000,7,501,3683.9,0,1,1,1,1,71.0,64.0
1449861,25-703,1,1,2,0,58,2,1,1,0,6,6111    ,61,0,0,501,2195.3,0,1,1,1,1,69.0,69.0
1449862,25-703,1,1,2,0,62,1,1,1,0,11,332M    ,33,125000,7,501,2195.3,0,1,1,1,1,69.0,68.0
1449889,25-503,1,1,4,2,43,1,1,4,0,11,5417    ,54,240600,8,501,2872.7,0,1,1,1,1,60.0,60.0
1449890,25-503,1,1,4,2,41,2,1,4,0,11,3254    ,32,296000,8,501,2872.7,0,1,1,1,1,60.0,67.0
1449891,25-503,1,1,4,0,12,2,6,4,0,2,       0,0,9999999,9,501,2872.7,0,1,1,1,1,60.0,53.0
1449892,25-503,1,1,4,0,6,2,6,4,0,1,       0,0,9999999,9,501,2872.7,0,1,1,1,1,60.0,52.0
1449939,25-1000,1,1,4,2,50,2,1,1,0,6,3162    ,31,84000,6,501,2447.1,0,1,1,1,1,128.0,127.0
