,PUMA,GQ,OWNERSHP,FAMSIZE,NCHILD,AGE,SEX,MARST,RACE,HISPAN,EDUC,INDNAICS,SECTOR,INCTOT,INCTOT_DECILE,POVERTY,DENSITY,VETDISAB,DIFFREM,DIFFPHYS,DIFFEYE,DIFFHEAR,HHWT,PERWT
37,1-1301,4,0,1,0,18,2,6,8,0,6,       0,0,0,0,0,2731.2,0,1,1,1,1,79.0,79.0
84,1-1301,4,0,1,0,27,1,6,1,0,7,333MS   ,33,15400,3,116,2731.2,0,1,1,1,1,5.0,5.0
85,1-1301,3,0,1,0,74,2,5,2,0,10,       0,0,12900,3,0,2731.2,0,1,2,1,1,19.0,19.0
95,1-1301,4,0,1,0,22,1,6,1,0,7,       0,0,0,0,0,2731.2,0,1,1,1,1,10.0,10.0
152,1-1301,4,0,1,0,18,2,6,1,0,6,       0,0,0,0,0,2731.2,0,1,1,1,1,85.0,85.0
156,1-1301,4,0,1,0,20,1,6,1,0,7,       0,0,0,0,0,2731.2,0,1,1,1,1,29.0,29.0
219,1-1301,4,0,1,0,20,1,6,2,4,6,       0,0,0,0,0,2731.2,0,1,1,1,1,79.0,79.0
258,1-1301,3,0,1,0,89,1,5,2,0,5,       0,0,35400,5,0,2731.2,0,1,2,1,1,14.0,14.0
277,1-1301,4,0,1,0,21,2,6,1,0,7,       0,0,0,0,0,2731.2,0,1,1,1,1,57.0,57.0
326,1-1301,4,0,1,0,21,2,6,1,0,7,       0,0,0,0,0,2731.2,0,1,1,1,1,34.0,34.0
355,1-1301,3,0,1,0,83,2,6,6,0,6,       0,0,9300,2,0,2731.2,0,2,2,1,1,11.0,11.0
400,1-1301,3,0,1,0,62,1,6,2,0,6,       0,0,22800,4,0,2731.2,0,1,2,1,1,15.0,15.0
403,1-1301,4,0,1,0,21,1,6,1,0,7,       0,0,0,0,0,2731.2,0,1,1,1,1,9.0,9.0
417,1-1301,4,0,1,0,19,2,6,1,0,7,611M1   ,61,10000,2,0,2731.2,0,1,1,1,1,90.0,90.0
431,1-1301,4,0,1,0,18,2,6,1,0,6,       0,0,0,0,0,2731.2,0,1,1,1,1,76.0,76.0
451,1-1301,4,0,1,0,18,2,6,8,0,6,       0,0,0,0,0,2731.2,0,1,1,1,1,73.0,73.0
499,1-1301,3,0,1,0,79,1,5,2,0,6,       0,0,27600,4,0,2731.2,0,1,2,1,1,15.0,15.0
566,1-1301,4,0,1,0,21,2,6,1,0,7,611M1   ,61,430,1,0,2731.2,0,1,1,1,1,89.0,89.0
581,1-1301,4,0,1,0,28,2,2,1,0,7,       0,0,0,0,1,2731.2,0,1,1,1,1,95.0,95.0
705,1-1301,3,0,1,0,66,1,6,2,0,2,       0,0,14000,3,0,2731.2,0,2,2,1,1,11.0,11.0
754,1-1301,3,0,1,0,79,1,4,2,0,6,       0,0,27600,4,0,2731.2,0,2,2,1,1,21.0,21.0
762,1-1301,3,0,1,0,57,1,6,2,0,5,23      ,23,20000,3,0,2731.2,0,1,1,1,1,16.0,16.0
772,1-1301,3,0,1,0,66,1,4,2,0,5,       0,0,3800,1,0,2731.2,0,1,1,1,1,14.0,14.0
781,1-1301,4,0,1,0,20,1,6,1,0,7,       0,0,0,0,0,2731.2,0,1,1,1,1,65.0,65.0
793,1-1301,3,0,1,0,66,1,6,2,0,6,       0,0,4400,1,0,2731.2,0,2,2,2,1,67.0,67.0
848,1-1301,3,0,1,0,66,1,6,2,0,6,       0,0,4400,1,0,2731.2,0,2,2,2,1,15.0,15.0
869,1-1301,4,0,1,0,19,1,6,1,0,7,       0,0,0,0,0,2731.2,0,1,1,1,1,37.0,37.0
885,1-1301,4,0,1,0,25,1,4,1,0,6,5613    ,56,150,1,1,2731.2,0,2,1,1,1,18.0,18.0
894,1-1301,4,0,1,0,70,1,4,1,0,2,       0,0,22300,4,184,2731.2,0,2,1,1,2,11.0,11.0
918,1-1301,4,0,1,0,21,2,6,1,0,7,       0,0,0,0,0,2731.2,0,1,1,1,1,112.0,112.0
919,1-1301,4,0,1,0,19,2,6,1,0,6,       0,0,0,0,0,2731.2,0,1,1,1,1,65.0,65.0
922,1-1301,3,0,1,0,23,1,2,2,0,7,3315    ,33,2500,1,0,2731.2,0,1,1,1,1,18.0,18.0
994,1-1301,3,0,1,0,42,1,6,2,0,6,811192  ,81,3000,1,0,2731.2,0,1,1,1,1,18.0,18.0
1015,1-1301,4,0,1,0,44,1,6,1,0,6,       0,0,8600,2,65,2731.2,0,2,1,1,1,46.0,46.0
1050,1-1301,4,0,1,0,32,1,4,1,0,6,336M    ,33,17000,3,128,2731.2,0,1,1,1,1,4.0,4.0
1088,1-1301,3,0,1,0,17,1,6,8,0,3,       0,0,0,0,0,2731.2,0,1,1,1,1,80.0,80.0
1126,1-1301,3,0,1,0,72,2,6,2,0,6,       0,0,8900,2,0,2731.2,0,1,2,1,1,21.0,21.0
1134,1-1301,4,0,1,0,53,1,6,1,0,6,23      ,23,600,1,4,2731.2,1,1,1,1,2,18.0,18.0
1137,1-1301,4,0,1,0,61,1,4,1,0,6,       0,0,8800,2,67,2731.2,0,2,1,1,1,12.0,12.0
1206,1-1301,4,0,1,0,21,2,6,1,0,7,611M1   ,61,430,1,0,2731.2,0,1,1,1,1,52.0,52.0
1208,1-1301,4,0,1,0,20,2,6,1,0,7,       0,0,0,0,0,2731.2,0,1,1,1,1,100.0,100.0
1241,1-1301,3,0,1,0,76,2,4,2,0,6,       0,0,13800,3,0,2731.2,0,1,2,1,1,14.0,14.0
1266,1-1301,4,0,1,0,21,2,6,1,0,7,611M1   ,61,430,1,0,2731.2,0,1,1,1,1,11.0,11.0
1269,1-1301,4,0,1,0,27,1,6,1,0,7,333MS   ,33,15400,3,116,2731.2,0,1,1,1,1,18.0,18.0
1272,1-1301,4,0,1,0,61,1,6,2,0,6,       0,0,11100,2,84,2731.2,1,2,1,1,1,26.0,26.0
1296,1-1301,4,0,1,0,20,1,6,1,0,7,       0,0,0,0,0,2731.2,0,1,1,1,1,72.0,72.0
1308,1-1301,4,0,1,0,69,1,4,2,0,3,       0,0,9500,2,77,2731.2,0,1,2,1,1,12.0,12.0
1338,1-1301,3,0,1,0,79,1,4,2,0,6,       0,0,27600,4,0,2731.2,0,2,2,1,1,8.0,8.0
1393,1-1301,4,0,1,0,21,2,6,1,0,7,611M1   ,61,430,1,0,2731.2,0,1,1,1,1,49.0,49.0
1396,1-1301,3,0,1,0,70,1,6,2,0,10,       0,0,27600,4,0,2731.2,0,2,2,1,1,17.0,17.0
1397,1-1301,3,0,1,0,40,1,2,2,0,6,4413    ,44,35000,5,0,2731.2,0,1,1,1,1,18.0,18.0
1402,1-1301,3,0,1,0,80,2,4,2,0,6,       0,0,13800,3,0,2731.2,0,1,2,1,1,23.0,23.0
1403,1-1301,4,0,1,0,21,2,6,1,0,7,45322   ,45,2100,1,0,2731.2,0,1,1,1,1,8.0,8.0
1404,1-1301,3,0,1,0,77,2,2,2,0,6,       0,0,5400,1,0,2731.2,0,2,2,1,1,22.0,22.0
1413,1-1301,4,0,1,0,56,1,3,1,0,3,23      ,23,1500,1,11,2731.2,0,1,1,2,1,5.0,5.0
1422,1-1301,4,0,1,0,21,1,6,1,0,7,       0,0,0,0,0,2731.2,0,1,1,1,1,61.0,61.0
1482,1-1301,4,0,1,0,18,2,6,1,0,6,       0,0,0,0,0,2731.2,0,1,1,1,1,72.0,72.0
1485,1-1301,4,0,1,0,37,1,3,2,0,7,311M1   ,31,25000,4,189,2731.2,0,2,1,1,1,5.0,5.0
1503,1-1301,4,0,1,0,39,1,6,1,0,6,       0,0,0,0,1,2731.2,0,2,1,1,1,87.0,87.0
1513,1-1301,4,0,1,0,18,1,6,8,0,7,       0,0,0,0,0,2731.2,0,1,1,1,1,67.0,67.0
1557,1-1301,4,0,1,0,21,1,6,2,0,7,       0,0,0,0,0,2731.2,0,1,1,1,1,9.0,9.0
1692,1-1301,4,0,1,0,18,2,6,1,0,6,       0,0,0,0,0,2731.2,0,1,1,1,1,88.0,88.0
1718,1-1301,4,0,1,0,20,1,6,2,4,6,       0,0,0,0,0,2731.2,0,1,1,1,1,61.0,61.0
1772,1-1301,4,0,1,0,19,2,6,1,0,7,       0,0,0,0,0,2731.2,0,1,1,1,1,68.0,68.0
1774,1-1301,4,0,1,0,27,2,6,1,0,6,5614    ,56,8000,2,61,2731.2,0,1,1,1,1,18.0,18.0
1779,1-1301,3,0,1,0,70,1,4,2,0,8,       0,0,13200,3,0,2731.2,1,1,2,1,1,12.0,12.0
1781,1-1301,4,0,1,0,19,2,6,1,0,7,611M1   ,61,10000,2,0,2731.2,0,1,1,1,1,75.0,75.0
1791,1-1301,4,0,1,0,20,1,6,1,0,7,       0,0,0,0,0,2731.2,0,1,1,1,1,78.0,78.0
1810,1-1301,3,0,1,0,30,2,6,2,0,6,       0,0,9400,2,0,2731.2,0,2,1,1,1,29.0,29.0
1843,1-1301,3,0,1,0,83,2,6,6,0,6,       0,0,9300,2,0,2731.2,0,2,2,1,1,67.0,67.0
1859,1-1301,4,0,1,0,21,2,6,1,0,7,       0,0,0,0,0,2731.2,0,1,1,1,1,77.0,77.0
1879,1-1301,4,0,1,0,20,1,6,1,0,7,       0,0,0,0,0,2731.2,0,1,1,1,1,83.0,83.0
1920,1-1301,3,0,1,0,48,1,2,1,0,6,       0,0,10200,2,0,2731.2,0,2,2,1,1,83.0,83.0
1921,1-1301,4,0,1,0,18,1,6,2,0,6,       0,0,0,0,0,2731.2,0,1,1,1,1,90.0,90.0
1971,1-1301,4,0,1,0,18,2,6,1,0,6,       0,0,0,0,0,2731.2,0,1,1,1,1,73.0,73.0
2002,1-1301,4,0,1,0,18,2,6,2,0,6,       0,0,0,0,0,2731.2,0,1,1,1,1,41.0,41.0
2007,1-1301,3,0,1,0,56,2,5,1,0,2,       0,0,8900,2,0,2731.2,0,1,2,1,1,17.0,17.0
2010,1-1301,3,0,1,0,87,1,2,1,0,6,       0,0,71800,7,0,2731.2,1,1,2,1,1,25.0,25.0
2068,1-1301,4,0,1,0,53,1,6,1,0,6,23      ,23,600,1,4,2731.2,1,1,1,1,2,4.0,4.0
2071,1-1301,4,0,1,0,20,1,6,1,0,7,       0,0,0,0,0,2731.2,0,1,1,1,1,69.0,69.0
2098,1-1301,4,0,1,0,4,1,6,8,1,0,       0,0,9999999,9,0,2731.2,0,0,0,1,1,21.0,21.0
2147,1-1301,3,0,1,0,93,1,6,2,0,1,       0,0,9000,2,0,2731.2,0,2,2,1,1,14.0,14.0
2156,1-1301,3,0,1,0,42,2,3,1,0,4,       0,0,0,0,0,2731.2,0,1,1,1,1,17.0,17.0
2202,1-1301,3,0,1,0,30,2,6,2,0,6,       0,0,9400,2,0,2731.2,0,2,1,1,1,16.0,16.0
2347,1-1301,3,0,1,0,93,2,2,1,0,6,       0,0,5400,1,0,2731.2,0,2,2,2,2,102.0,102.0
2358,1-1301,4,0,1,0,61,1,4,1,0,6,       0,0,8800,2,67,2731.2,0,2,1,1,1,15.0,15.0
2363,1-1301,3,0,1,0,71,1,2,2,0,6,       0,0,22300,4,0,2731.2,0,1,2,1,1,17.0,17.0
2369,1-1301,4,0,1,0,21,1,6,2,0,7,       0,0,0,0,0,2731.2,0,1,1,1,1,10.0,10.0
2378,1-1301,4,0,1,0,18,1,6,1,0,6,       0,0,0,0,0,2731.2,0,1,1,1,1,47.0,47.0
2468,1-1301,1,1,2,0,66,1,1,2,0,10,23      ,23,283500,8,501,2731.2,0,1,1,1,1,45.0,45.0
2469,1-1301,1,1,2,0,63,2,1,2,0,7,       0,0,11000,2,501,2731.2,0,1,1,1,1,45.0,50.0
2650,1-1301,1,2,3,2,41,2,3,2,0,8,622M    ,62,32000,5,155,2731.2,1,1,1,1,1,157.0,157.0
2651,1-1301,1,2,3,0,2,2,6,2,0,0,       0,0,9999999,9,155,2731.2,0,0,0,1,1,157.0,211.0
2652,1-1301,1,2,3,0,1,1,6,2,0,0,       0,0,9999999,9,155,2731.2,0,0,0,1,1,157.0,276.0
2946,1-1301,1,2,3,2,24,2,6,2,0,7,8131    ,81,7400,1,36,2731.2,0,1,1,1,1,589.0,588.0
2947,1-1301,1,2,3,0,5,2,6,2,0,1,       0,0,9999999,9,36,2731.2,0,1,1,1,1,589.0,515.0
2948,1-1301,1,2,3,0,2,2,6,2,0,0,       0,0,9999999,9,36,2731.2,0,0,0,1,1,589.0,578.0
3059,1-1301,1,1,2,1,61,2,4,2,0,7,923     ,92,0,0,54,2731.2,0,1,1,1,1,48.0,48.0
3060,1-1301,1,1,2,0,33,2,6,2,0,6,       0,0,9300,2,54,2731.2,0,2,1,1,1,48.0,53.0
3186,1-1301,1,2,1,0,64,2,6,2,0,6,332M    ,33,0,0,1,2731.2,0,1,1,1,1,130.0,129.0
3375,1-1301,1,1,2,0,65,2,6,2,0,7,611M1   ,61,2200,1,105,2731.2,0,1,1,1,1,140.0,141.0
3376,1-1301,1,1,2,0,19,1,6,2,0,6,5413    ,54,14000,3,105,2731.2,0,1,1,1,1,140.0,245.0
3491,1-1301,1,1,2,0,63,1,1,2,0,7,       0,0,17080,3,204,2731.2,6,1,1,2,2,59.0,59.0
3492,1-1301,1,1,2,0,59,2,1,2,0,11,6111    ,61,17300,3,204,2731.2,0,1,2,1,1,59.0,56.0
3561,1-1301,1,1,1,0,69,2,5,2,0,6,       0,0,37000,5,305,2731.2,0,1,1,1,1,69.0,69.0
3621,1-1301,1,2,1,0,60,2,5,2,0,7,722Z    ,72,1000,1,7,2731.2,0,1,1,1,1,82.0,82.0
3740,1-1301,1,1,3,1,86,2,5,1,0,6,       0,0,16700,3,209,2731.2,0,1,1,1,1,62.0,62.0
3741,1-1301,1,1,3,1,68,2,2,1,0,11,442     ,44,16800,3,209,2731.2,0,1,1,1,1,62.0,69.0
3742,1-1301,1,1,3,0,43,2,6,1,0,7,5412    ,54,8000,2,209,2731.2,0,1,1,1,1,62.0,81.0
3743,1-1301,1,1,1,0,81,1,2,1,0,11,       0,0,17000,3,140,2731.2,1,1,1,1,1,62.0,63.0
3773,1-1301,1,1,3,1,57,1,1,2,0,10,5616    ,56,57000,6,501,2731.2,0,1,1,1,1,49.0,49.0
3774,1-1301,1,1,3,1,60,2,1,2,0,6,611M1   ,61,51000,6,501,2731.2,0,1,1,1,1,49.0,49.0
3775,1-1301,1,1,3,0,35,1,6,2,0,10,4523    ,45,50000,6,501,2731.2,0,1,1,1,1,49.0,70.0
3810,1-1301,1,1,3,1,71,1,1,2,0,7,       0,0,34500,5,432,2731.2,1,1,1,1,2,215.0,215.0
3811,1-1301,1,1,3,1,71,2,1,2,0,6,       0,0,21200,4,432,2731.2,0,1,1,1,1,215.0,257.0
3812,1-1301,1,1,3,0,49,1,3,2,0,10,8131    ,81,30000,5,432,2731.2,0,1,1,1,1,215.0,326.0
3989,1-1301,1,2,2,0,44,2,4,1,0,7,3116    ,31,22000,4,166,2731.2,0,1,1,1,1,136.0,135.0
3990,1-1301,1,2,2,0,47,1,6,2,0,6,3116    ,31,19000,3,143,2731.2,0,1,1,1,1,136.0,181.0
4095,1-1301,1,2,5,4,36,2,3,2,0,6,7211    ,72,900,1,3,2731.2,0,1,1,1,1,70.0,69.0
4096,1-1301,1,2,5,0,14,2,6,2,0,3,       0,0,9999999,9,3,2731.2,0,1,1,1,1,70.0,85.0
4097,1-1301,1,2,5,0,11,1,6,2,0,2,       0,0,9999999,9,3,2731.2,0,1,1,1,1,70.0,76.0
4098,1-1301,1,2,5,0,11,1,6,2,0,2,       0,0,9999999,9,3,2731.2,0,1,1,1,1,70.0,76.0
4099,1-1301,1,2,5,0,9,1,6,2,0,1,       0,0,9999999,9,3,2731.2,0,2,1,1,1,70.0,76.0
4236,1-1301,1,1,1,0,61,2,4,2,0,6,9211MP  ,92,14100,3,107,2731.2,0,2,1,1,2,127.0,126.0
4433,1-1301,1,2,1,0,55,1,6,2,0,6,4481    ,44,0,0,1,2731.2,0,1,1,1,1,61.0,61.0
4521,1-1301,1,1,4,2,36,1,1,2,0,10,92M1    ,92,36200,5,356,2731.2,0,1,1,1,1,185.0,184.0
4522,1-1301,1,1,4,2,33,2,1,2,0,11,6111    ,61,54600,6,356,2731.2,0,1,1,1,1,185.0,127.0
4523,1-1301,1,1,4,0,1,2,6,2,0,0,       0,0,9999999,9,356,2731.2,0,0,0,1,1,185.0,182.0
4524,1-1301,1,1,4,0,12,1,6,2,0,2,       0,0,9999999,9,356,2731.2,0,1,1,1,1,185.0,146.0
4735,1-1301,1,1,2,0,74,1,1,2,0,6,531M    ,53,60800,7,495,2731.2,6,1,1,1,1,33.0,34.0
4736,1-1301,1,1,2,0,68,2,1,2,0,10,       0,0,15600,3,495,2731.2,0,1,1,1,1,33.0,42.0
4934,1-1301,1,1,1,0,93,2,2,2,0,6,       0,0,27300,4,225,2731.2,0,2,2,1,1,178.0,177.0
5088,1-1301,1,1,1,0,70,2,4,2,0,7,       0,0,29500,4,242,2731.2,0,1,1,1,1,66.0,66.0
5208,1-1301,1,2,1,0,66,2,5,2,0,7,       0,0,14000,3,115,2731.2,0,1,1,1,1,130.0,130.0
5222,1-1301,1,2,2,0,52,1,4,2,0,6,3327    ,33,21000,4,154,2731.2,1,1,1,1,1,132.0,132.0
5223,1-1301,1,2,2,0,51,1,6,2,0,6,4853    ,48,5000,1,154,2731.2,0,1,2,1,1,132.0,138.0
5308,1-1301,1,2,2,0,60,1,4,2,0,6,23      ,23,32000,5,244,2731.2,0,1,1,1,1,375.0,375.0
5309,1-1301,1,2,2,0,53,2,6,2,0,6,722Z    ,72,16500,3,126,2731.2,0,1,1,1,1,375.0,504.0
5316,1-1301,1,1,2,0,72,1,1,2,0,6,       0,0,34500,5,501,2731.2,1,1,1,1,1,73.0,73.0
5317,1-1301,1,1,2,0,72,2,1,2,0,10,       0,0,44000,6,501,2731.2,0,1,1,1,1,73.0,87.0
5332,1-1301,1,1,3,0,28,1,6,7,4,0,3315    ,33,15000,3,73,2731.2,0,1,1,1,1,27.0,27.0
5333,1-1301,1,1,3,0,18,2,6,7,4,5,       0,0,0,0,73,2731.2,0,1,1,1,1,27.0,43.0
5334,1-1301,1,1,3,0,14,2,6,7,4,3,       0,0,9999999,9,73,2731.2,0,1,1,1,1,27.0,45.0
5509,1-1301,1,1,1,0,79,2,4,2,0,7,       0,0,36000,5,297,2731.2,0,1,1,1,1,54.0,53.0
5562,1-1301,1,2,3,2,30,2,6,3,1,5,       0,0,9300,2,45,2731.2,0,2,1,1,1,61.0,61.0
5563,1-1301,1,2,3,0,5,1,6,3,1,0,       0,0,9999999,9,45,2731.2,0,1,1,1,1,61.0,126.0
5564,1-1301,1,2,3,0,1,1,6,3,1,0,       0,0,9999999,9,45,2731.2,0,0,0,1,1,61.0,181.0
5628,1-1301,1,2,1,0,51,2,4,2,0,10,813M    ,81,68000,7,501,2731.2,0,1,1,1,1,118.0,118.0
5794,1-1301,1,1,4,0,76,1,1,2,0,1,       0,0,52300,6,244,2731.2,0,1,2,1,1,96.0,97.0
5795,1-1301,1,1,4,0,74,2,1,2,0,7,       0,0,8300,2,244,2731.2,0,1,1,1,1,96.0,118.0
5796,1-1301,1,1,4,0,25,2,6,2,0,6,561M    ,56,4000,1,244,2731.2,0,1,1,1,1,96.0,286.0
5797,1-1301,1,1,4,0,6,2,6,2,0,1,       0,0,9999999,9,244,2731.2,0,1,1,1,1,96.0,151.0
5862,1-1301,1,2,1,0,70,2,5,2,0,6,6244    ,62,12300,2,101,2731.2,1,2,1,1,1,123.0,124.0
5897,1-1301,1,2,1,0,87,1,5,2,0,6,       0,0,11600,2,95,2731.2,0,1,1,2,1,183.0,182.0
5898,1-1301,1,1,4,1,71,1,1,2,0,6,       0,0,46100,6,239,2731.2,3,1,1,1,1,61.0,60.0
5899,1-1301,1,1,4,1,72,2,1,2,0,8,       0,0,8300,2,239,2731.2,0,1,1,1,1,61.0,71.0
5900,1-1301,1,1,4,1,40,2,4,2,0,11,8131    ,81,9000,2,239,2731.2,0,1,1,1,1,61.0,81.0
5901,1-1301,1,1,4,0,9,1,6,2,0,1,       0,0,9999999,9,239,2731.2,0,1,1,1,1,61.0,84.0
5908,1-1301,1,2,2,1,45,2,4,2,0,6,44611   ,44,30000,5,186,2731.2,0,1,1,1,1,121.0,120.0
5909,1-1301,1,2,2,0,19,1,6,2,0,6,611M1   ,61,1400,1,186,2731.2,0,1,1,1,1,121.0,134.0
5938,1-1301,1,1,1,0,66,2,6,2,0,8,       0,0,9300,2,76,2731.2,0,1,2,1,1,445.0,444.0
6011,1-1301,1,2,3,2,30,2,6,2,0,8,622M    ,62,29700,4,145,2731.2,0,1,1,1,1,224.0,224.0
6012,1-1301,1,2,3,0,9,1,6,2,0,1,       0,0,9999999,9,145,2731.2,0,1,1,1,1,224.0,286.0
6013,1-1301,1,2,3,0,4,1,6,2,0,0,       0,0,9999999,9,145,2731.2,0,0,0,1,1,224.0,463.0
6541,1-1301,1,1,2,0,57,1,6,2,0,7,621M    ,62,0,0,81,2731.2,1,1,1,1,1,154.0,153.0
6542,1-1301,1,1,2,0,59,1,6,2,0,6,6244    ,62,13700,3,81,2731.2,1,1,1,1,1,154.0,163.0
6631,1-1301,1,1,2,1,87,2,5,1,0,3,       0,0,12900,3,202,2731.2,0,2,2,1,2,123.0,122.0
6632,1-1301,1,1,2,0,62,1,4,1,0,6,4411    ,44,18000,3,202,2731.2,0,1,1,1,2,123.0,130.0
6695,1-1301,1,1,2,1,62,2,2,2,0,6,92M2    ,92,15000,3,332,2731.2,0,1,1,1,1,136.0,136.0
6696,1-1301,1,1,2,0,29,1,6,2,0,6,3241M   ,32,41600,6,332,2731.2,0,1,1,1,1,136.0,291.0
6897,1-1301,1,1,1,0,60,2,5,2,0,6,       0,0,34600,5,262,2731.2,0,2,1,1,1,64.0,63.0
7222,1-1301,1,2,2,0,48,2,1,2,0,8,6231    ,62,56000,6,409,2731.2,0,1,1,1,1,252.0,252.0
7223,1-1301,1,2,2,0,60,1,1,2,0,6,       0,0,13500,3,409,2731.2,0,1,1,1,1,252.0,147.0
7279,1-1301,1,2,2,0,27,2,4,2,0,7,44611   ,44,25000,4,188,2731.2,0,1,1,1,1,108.0,109.0
7280,1-1301,1,2,2,0,36,1,6,2,0,6,8111Z   ,81,5000,1,37,2731.2,0,1,1,1,1,108.0,59.0
7388,1-1301,1,1,1,0,68,2,4,2,0,6,       0,0,9300,2,76,2731.2,0,1,2,1,1,74.0,74.0
7520,1-1301,1,1,2,1,74,2,5,2,0,8,       0,0,16000,3,412,2731.2,0,1,1,1,1,55.0,55.0
7521,1-1301,1,1,2,0,45,2,4,2,0,7,928110P1,92,46800,6,412,2731.2,6,1,1,1,1,55.0,88.0
7640,1-1301,1,2,1,0,53,2,4,2,0,2,       0,0,9500,2,71,2731.2,0,1,2,1,1,47.0,47.0
7641,1-1301,1,2,1,0,63,2,4,2,0,6,6231    ,62,30000,5,228,2731.2,0,1,1,1,1,47.0,36.0
7708,1-1301,1,2,5,2,56,1,1,2,0,6,23      ,23,140000,8,500,2731.2,0,1,1,1,1,265.0,264.0
7709,1-1301,1,2,5,2,42,2,1,1,0,3,       0,0,8700,2,500,2731.2,0,1,2,1,1,265.0,261.0
7710,1-1301,1,2,5,0,17,1,6,2,0,4,23      ,23,1200,1,500,2731.2,0,2,1,2,1,265.0,397.0
7711,1-1301,1,2,5,0,15,1,6,2,0,2,       0,0,0,0,500,2731.2,0,2,1,1,1,265.0,396.0
7712,1-1301,1,2,5,0,17,2,6,2,0,5,722Z    ,72,1100,1,500,2731.2,0,1,1,1,1,265.0,253.0
8010,1-1301,1,2,1,0,75,1,4,2,0,6,       0,0,58400,6,485,2731.2,0,1,1,1,1,54.0,55.0
8174,1-1301,1,2,1,0,81,2,5,2,0,4,       0,0,12000,2,99,2731.2,0,1,1,2,1,102.0,102.0
8426,1-1301,1,2,3,1,42,2,1,2,0,6,44511   ,44,8400,2,248,2731.2,0,2,1,1,1,81.0,81.0
8427,1-1301,1,2,3,1,44,1,1,2,0,6,44511   ,44,25900,4,248,2731.2,0,1,1,1,1,81.0,94.0
8428,1-1301,1,2,3,0,20,2,6,2,0,6,       0,0,14700,3,248,2731.2,0,2,1,1,1,81.0,103.0
8452,1-1301,1,2,1,0,49,2,3,2,0,6,488     ,48,30000,5,227,2731.2,0,1,1,1,1,232.0,232.0
8674,1-1301,1,1,1,0,84,1,5,2,0,8,       0,0,7500,2,61,2731.2,1,1,1,1,1,29.0,30.0
8675,1-1301,1,1,3,1,62,2,5,2,0,8,       0,0,11100,2,160,2731.2,0,1,1,1,1,44.0,44.0
8676,1-1301,1,1,3,0,44,2,5,2,0,6,       0,0,10000,2,160,2731.2,0,1,1,1,1,44.0,58.0
8677,1-1301,1,1,3,0,62,2,6,2,0,8,       0,0,10400,2,160,2731.2,0,1,1,1,1,44.0,46.0
8703,1-1301,1,1,1,0,72,2,5,2,0,6,       0,0,15500,3,127,2731.2,0,2,2,1,1,40.0,40.0
8793,1-1301,1,2,4,2,29,2,1,2,0,0,722Z    ,72,2500,1,19,2731.2,0,2,1,2,1,200.0,200.0
8794,1-1301,1,2,4,2,37,1,1,2,0,0,722Z    ,72,2500,1,19,2731.2,0,1,2,1,1,200.0,105.0
8795,1-1301,1,2,4,0,2,2,6,8,0,0,       0,0,9999999,9,19,2731.2,0,0,0,1,1,200.0,110.0
8796,1-1301,1,2,4,0,0,2,6,2,0,0,       0,0,9999999,9,19,2731.2,0,0,0,1,1,200.0,108.0
9007,1-1301,1,1,2,0,70,1,1,2,0,11,611M1   ,61,198000,8,501,2731.2,0,1,1,1,1,97.0,97.0
9008,1-1301,1,1,2,0,64,2,1,2,0,11,       0,0,14000,3,501,2731.2,0,1,1,1,1,97.0,108.0
9031,1-1301,1,1,1,0,68,1,5,2,0,6,       0,0,15600,3,128,2731.2,0,1,1,1,1,70.0,69.0
9545,1-1301,1,1,3,1,68,2,6,2,0,6,       0,0,35500,5,254,2731.2,0,1,1,1,1,199.0,199.0
9546,1-1301,1,1,3,1,50,1,3,2,0,6,4523    ,45,16000,3,254,2731.2,0,1,1,1,1,199.0,289.0
9547,1-1301,1,1,3,0,14,2,6,8,0,2,       0,0,9999999,9,254,2731.2,0,1,1,1,1,199.0,282.0
9930,1-1301,1,1,1,0,76,1,2,2,0,6,       0,0,16000,3,132,2731.2,0,1,1,1,1,83.0,83.0
10334,1-1301,1,1,1,0,93,1,5,2,0,11,       0,0,128600,8,501,2731.2,0,1,1,2,2,81.0,82.0
11148,1-1301,1,1,1,0,84,2,5,2,2,8,       0,0,20400,4,169,2731.2,0,1,2,1,1,70.0,70.0
11589,1-1301,1,1,1,0,69,1,6,2,0,6,       0,0,24000,4,196,2731.2,0,1,2,1,1,69.0,70.0
11662,1-1301,1,1,3,1,55,2,1,2,0,10,9211MP  ,92,57100,6,314,2731.2,0,1,1,1,1,66.0,66.0
11663,1-1301,1,1,3,1,63,1,1,2,0,6,6241    ,62,4800,1,314,2731.2,1,1,1,1,1,66.0,65.0
11664,1-1301,1,1,3,0,25,1,6,2,0,0,       0,0,0,0,314,2731.2,0,2,1,1,1,66.0,124.0
11733,1-1301,1,2,3,2,41,2,6,2,0,5,4523    ,45,31900,5,158,2731.2,0,2,1,1,1,40.0,41.0
11734,1-1301,1,2,3,0,19,2,6,2,0,5,722Z    ,72,270,1,158,2731.2,0,1,1,1,1,40.0,53.0
11735,1-1301,1,2,3,0,17,1,6,2,0,6,       0,0,0,0,158,2731.2,0,1,1,1,1,40.0,55.0
12004,1-1301,1,1,2,0,47,2,6,2,0,5,999920  ,99,0,0,1,2731.2,0,2,2,1,1,378.0,378.0
12005,1-1301,1,1,2,0,60,1,6,2,0,6,       0,0,9000,2,68,2731.2,0,1,2,1,1,378.0,221.0
