,PUMA,GQ,OWNERSHP,FAMSIZE,NCHILD,AGE,SEX,MARST,RACE,HISPAN,EDUC,INDNAICS,SECTOR,INCTOT,INCTOT_DECILE,POVERTY,DENSITY,VETDISAB,DIFFREM,DIFFPHYS,DIFFEYE,DIFFHEAR,HHWT,PERWT
1732050,30-600,1,1,6,0,4,2,6,1,0,0,       0,0,9999999,9,151,16.3,0,0,0,1,1,25.0,37.0
1732051,30-600,1,1,1,0,20,2,6,1,0,6,6216    ,62,2000,1,15,16.3,0,1,1,1,1,25.0,25.0
1732057,30-600,1,2,5,3,33,2,1,1,0,6,6111    ,61,0,0,98,16.3,0,1,1,1,1,114.0,114.0
1732058,30-600,1,2,5,3,35,1,1,1,0,6,4441Z   ,44,30000,4,98,16.3,0,1,1,1,1,114.0,209.0
1732059,30-600,1,2,5,0,14,2,6,1,0,2,       0,0,9999999,9,98,16.3,0,1,1,1,1,114.0,110.0
1732060,30-600,1,2,5,0,11,2,6,1,0,2,       0,0,9999999,9,98,16.3,0,1,1,1,1,114.0,109.0
1732061,30-600,1,2,5,0,9,2,6,1,0,1,       0,0,9999999,9,98,16.3,0,1,1,1,1,114.0,111.0
1732064,30-600,1,1,3,1,61,2,1,1,0,6,6111    ,61,20000,3,277,16.3,0,1,1,1,1,35.0,35.0
1732065,30-600,1,1,3,1,57,1,1,1,0,6,213     ,21,20000,3,277,16.3,0,1,1,1,1,35.0,50.0
1732066,30-600,1,1,3,0,32,1,6,1,0,7,1133    ,11,15000,2,277,16.3,0,1,1,1,1,35.0,26.0
1732076,30-600,1,1,5,3,36,1,1,1,0,10,5413    ,54,169320,8,501,16.3,0,1,1,1,1,177.0,177.0
1732077,30-600,1,1,5,3,37,2,1,1,0,6,45439   ,45,1500,0,501,16.3,0,1,1,1,1,177.0,131.0
1732078,30-600,1,1,5,0,6,2,6,1,0,1,       0,0,9999999,9,501,16.3,0,1,1,1,1,177.0,129.0
1732079,30-600,1,1,5,0,3,2,6,1,0,1,       0,0,9999999,9,501,16.3,0,0,0,1,1,177.0,144.0
1732080,30-600,1,1,5,0,1,2,6,1,0,0,       0,0,9999999,9,501,16.3,0,0,0,1,1,177.0,144.0
1732081,30-600,1,1,1,0,51,1,3,1,0,6,44413   ,44,25000,4,188,16.3,1,1,1,1,1,33.0,33.0
1732095,30-600,1,1,2,0,77,1,1,1,0,6,3118Z   ,31,19400,3,193,16.3,0,1,1,1,1,88.0,88.0
1732096,30-600,1,1,2,0,77,2,1,1,0,6,       0,0,10000,2,193,16.3,0,1,1,1,1,88.0,86.0
1732097,30-600,1,1,2,0,42,1,6,1,0,6,23      ,23,35000,5,263,16.3,0,1,1,1,1,94.0,93.0
1732098,30-600,1,1,2,0,35,2,6,3,0,10,6212    ,62,0,0,1,16.3,0,1,1,1,1,94.0,73.0
1732101,30-600,1,1,2,0,61,1,4,1,0,8,92MP    ,92,35000,5,264,16.3,1,1,2,1,1,25.0,24.0
1732102,30-600,1,1,2,0,54,2,4,1,0,10,6111    ,61,46000,5,347,16.3,0,1,1,1,1,25.0,18.0
1732110,30-600,1,1,1,0,62,1,2,1,0,5,112     ,11,54000,6,406,16.3,0,1,1,1,2,115.0,115.0
1732140,30-600,1,1,4,2,34,1,1,1,0,7,213     ,21,130000,8,501,16.3,0,1,1,1,1,18.0,19.0
1732141,30-600,1,1,4,2,33,2,1,1,1,8,446Z    ,44,57300,6,501,16.3,0,1,1,1,1,18.0,60.0
1732142,30-600,1,1,4,0,2,1,6,1,1,0,       0,0,9999999,9,501,16.3,0,0,0,1,1,18.0,87.0
1732143,30-600,1,1,4,0,11,2,6,1,1,2,       0,0,9999999,9,501,16.3,0,1,1,1,1,18.0,43.0
1732149,30-600,1,1,2,0,68,2,1,1,0,10,6111    ,61,19500,3,372,16.3,0,1,1,1,1,28.0,28.0
1732150,30-600,1,1,2,0,66,1,1,1,0,11,8131    ,81,37300,5,372,16.3,0,1,1,1,1,28.0,35.0
1732151,30-600,1,1,1,0,76,2,4,1,0,6,6231    ,62,4900,1,40,16.3,0,1,1,1,1,208.0,207.0
1732167,30-600,1,2,3,1,51,1,1,3,0,7,23      ,23,50000,6,263,16.3,0,1,1,1,1,129.0,129.0
1732168,30-600,1,2,3,1,33,2,1,3,1,11,5416    ,54,4000,1,263,16.3,0,1,1,1,1,129.0,35.0
1732169,30-600,1,2,3,0,3,1,6,3,1,0,       0,0,9999999,9,263,16.3,0,0,0,1,1,129.0,157.0
1732216,30-600,1,1,2,0,67,1,1,1,0,6,2212P   ,22,49200,6,417,16.3,0,1,1,1,2,24.0,25.0
1732217,30-600,1,1,2,0,66,2,1,1,0,7,       0,0,14300,2,417,16.3,0,1,1,1,2,24.0,19.0
1732227,30-600,1,1,2,0,64,1,1,1,0,10,485M    ,48,44800,5,417,16.3,0,1,1,1,1,134.0,135.0
1732228,30-600,1,1,2,0,58,2,1,1,0,10,       0,0,26100,4,417,16.3,0,1,2,1,1,134.0,86.0
1732240,30-600,1,1,3,1,30,2,1,1,0,10,812112  ,81,22500,3,481,16.3,0,1,1,1,1,48.0,49.0
1732241,30-600,1,1,3,1,32,1,1,1,0,10,3261    ,32,75000,7,481,16.3,0,1,1,1,1,48.0,46.0
1732242,30-600,1,1,3,0,2,1,6,1,0,0,       0,0,9999999,9,481,16.3,0,0,0,1,1,48.0,49.0
1732277,30-600,1,1,2,0,54,1,1,1,0,11,52M1    ,52,89800,7,501,16.3,0,1,1,1,1,58.0,58.0
1732278,30-600,1,1,2,0,55,2,1,1,0,11,813M    ,81,66000,7,501,16.3,0,1,1,1,1,58.0,51.0
1732290,30-600,1,2,1,0,38,2,4,1,0,11,5417    ,54,70000,7,501,16.3,0,1,1,1,1,548.0,548.0
1732295,30-600,1,1,1,0,68,2,6,1,0,11,23      ,23,212500,8,501,16.3,0,1,1,1,1,17.0,17.0
1732296,30-600,1,1,1,0,41,1,6,1,0,10,23      ,23,100000,7,501,16.3,0,1,1,1,1,17.0,80.0
1732297,30-600,1,1,2,0,49,1,1,1,0,6,112     ,11,375000,8,501,16.3,0,1,1,1,1,48.0,48.0
1732298,30-600,1,1,2,0,57,2,1,1,0,10,112     ,11,0,0,501,16.3,0,1,1,1,1,48.0,58.0
1732339,30-600,1,2,2,0,26,1,6,2,0,7,44511   ,44,20800,3,157,16.3,0,1,1,1,1,80.0,80.0
1732340,30-600,1,2,2,0,27,2,6,1,0,7,622M    ,62,14300,2,108,16.3,0,1,1,1,1,80.0,29.0
1732341,30-600,1,1,1,0,70,2,4,3,0,7,       0,0,18000,3,148,16.3,0,1,1,1,2,114.0,115.0
1732344,30-600,1,2,4,1,51,1,1,1,0,3,484     ,48,30000,4,174,16.3,0,1,2,1,1,12.0,13.0
1732345,30-600,1,2,4,1,54,2,1,1,0,7,6111    ,61,1500,0,174,16.3,0,1,1,1,1,12.0,11.0
1732346,30-600,1,2,4,1,24,2,6,1,0,6,4441Z   ,44,15000,2,174,16.3,0,1,1,1,1,12.0,56.0
1732347,30-600,1,2,4,0,6,2,6,3,0,0,       0,0,9999999,9,174,16.3,0,1,1,1,1,12.0,20.0
1732360,30-600,1,2,4,2,30,2,4,1,0,6,92M2    ,92,39000,5,191,16.3,0,1,1,1,1,241.0,241.0
1732361,30-600,1,2,4,2,33,1,6,1,0,7,6231    ,62,40000,5,304,16.3,1,1,1,1,1,241.0,199.0
1732362,30-600,1,2,4,0,8,2,6,1,0,1,       0,0,9999999,9,191,16.3,0,1,1,1,1,241.0,256.0
1732363,30-600,1,2,4,0,5,1,6,1,0,1,       0,0,9999999,9,191,16.3,0,1,1,1,1,241.0,256.0
1732368,30-600,1,1,4,2,65,1,1,1,0,8,6241    ,62,37150,5,501,16.3,4,1,1,1,1,25.0,25.0
1732369,30-600,1,1,4,2,63,2,1,1,0,6,       0,0,45700,5,501,16.3,0,1,2,1,1,25.0,28.0
1732370,30-600,1,1,4,0,28,2,6,1,0,10,712     ,71,28700,4,501,16.3,0,1,1,1,1,25.0,76.0
1732371,30-600,1,1,4,0,23,1,6,1,0,6,333MS   ,33,22500,3,501,16.3,0,1,1,1,1,25.0,69.0
1732377,30-600,1,2,1,0,23,2,6,1,0,6,722Z    ,72,19500,3,149,16.3,0,1,1,1,1,305.0,305.0
1732380,30-600,1,1,4,2,27,2,1,1,0,6,531M    ,53,25930,4,501,16.3,0,1,1,1,1,245.0,245.0
1732381,30-600,1,1,4,2,28,1,1,1,0,7,4238    ,42,104000,7,501,16.3,0,1,1,1,1,245.0,245.0
1732382,30-600,1,1,4,0,7,1,6,1,0,1,       0,0,9999999,9,501,16.3,0,1,1,1,1,245.0,207.0
1732383,30-600,1,1,4,0,3,2,6,1,0,0,       0,0,9999999,9,501,16.3,0,0,0,1,1,245.0,228.0
1732384,30-600,1,1,2,0,58,1,1,1,0,7,23      ,23,75000,7,501,16.3,0,1,1,1,1,97.0,97.0
1732385,30-600,1,1,2,0,54,2,1,1,0,6,53M     ,53,69500,7,501,16.3,0,1,1,1,1,97.0,39.0
1732394,30-600,1,1,2,0,57,1,1,1,0,6,23      ,23,147000,8,501,16.3,0,1,1,1,1,36.0,36.0
1732395,30-600,1,1,2,0,46,2,1,1,0,8,112     ,11,0,0,501,16.3,0,1,1,1,1,36.0,35.0
1732398,30-600,1,1,4,2,44,2,1,1,0,10,5242    ,52,80000,7,501,16.3,1,1,1,1,1,309.0,309.0
1732399,30-600,1,1,4,2,37,1,1,1,0,6,4247    ,42,80000,7,501,16.3,0,1,1,1,1,309.0,418.0
1732400,30-600,1,1,4,0,2,1,6,1,0,0,       0,0,9999999,9,501,16.3,0,0,0,1,1,309.0,286.0
